"STATION","NAME","DATE","DP01","DP10","DT32","DX32","DX70","DX90","PRCP","SNOW","TMAX","TMIN"
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","1999-09","4","4",,,,,"92.5","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","1999-10","3","2",,,,,"25.4","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","1999-11","3","1",,,,,"6.6","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","1999-12","12","6",,,,,"66.7","117",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-01","6","4",,,,,"20.5","186",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-02","5","4",,,,,"62.8","25",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-03","11","5",,,,,"35.1","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-04","8","7",,,,,"78.8","25",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-05","11","6",,,,,"125.0","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-06","13","12",,,,,"156.5","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-07","8","6",,,,,"49.8","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-08","10","7",,,,,"55.8","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-09","10","6",,,,,"116.9","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-10","7","2",,,,,"32.3","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-11","5","4",,,,,"39.8","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2000-12","11","5",,,,,"31.9","500",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2001-01","9","4",,,,,"53.2","101",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2001-02","10","5",,,,,"99.0","63",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2001-03","5","4",,,,,"38.9","25",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2001-04","15","8",,,,,"86.8","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2001-05","17","10",,,,,"167.2","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2001-06","9","7",,,,,"102.6","0",,
"USC00118040","SNAKE DEN HOLLOW F AND WA, IL US","2001-07","7","5",,,,,"41.2","0",,
